MMM 	 10 	 15 
ABT 	 10 	 15 
ABBV 	 30 	 35 
ABMD 	 10 	 20 
ACN 	 10 	 15 
ATVI 	 5 	 10 
ADBE 	 20 	 30 
AMD 	 5 	 15 
AAP 	 50 	 55 
AES 	 5 	 15 
AFL 	 10 	 20 
A 	 5 	 15 
APD 	 5 	 15 
AKAM 	 45 	 75 
ALK 	 35 	 50 
ALB 	 20 	 25 
ARE 	 15 	 20 
ALXN 	 55 	 60 
ALGN 	 5 	 10 
ALLE 	 10 	 15 
LNT 	 25 	 35 
ALL 	 15 	 45 
GOOGL 	 10 	 20 
GOOG 	 10 	 20 
MO 	 40 	 85 
AMZN 	 10 	 15 
AMCR 	 10 	 25 
AEE 	 20 	 40 
AAL 	 40 	 45 
AEP 	 40 	 45 
AXP 	 15 	 25 
AIG 	 35 	 40 
AMT 	 25 	 45 
AWK 	 10 	 20 
AMP 	 55 	 65 
ABC 	 45 	 55 
AME 	 10 	 15 
AMGN 	 20 	 45 
APH 	 20 	 25 
ADI 	 5 	 80 
ANSS 	 25 	 30 
ANTM 	 10 	 15 
AON 	 5 	 15 
AOS 	 15 	 40 
APA 	 5 	 25 
AIV 	 25 	 40 
AAPL 	 30 	 55 
AMAT 	 20 	 25 
APTV 	 20 	 35 
ADM 	 10 	 15 
ANET 	 10 	 15 
AJG 	 55 	 65 
AIZ 	 25 	 70 
T 	 20 	 75 
ATO 	 25 	 30 
ADSK 	 15 	 30 
ADP 	 10 	 25 
AZO 	 10 	 35 
AVB 	 35 	 45 
AVY 	 5 	 10 
BKR 	 25 	 65 
BLL 	 20 	 40 
BAC 	 10 	 15 
BK 	 15 	 55 
BAX 	 5 	 10 
BDX 	 5 	 10 
BRK.B 	 0 	 0 
BBY 	 5 	 20 
BIO 	 5 	 55 
BIIB 	 15 	 20 
BLK 	 55 	 65 
BA 	 5 	 10 
BKNG 	 5 	 30 
BWA 	 15 	 20 
BXP 	 10 	 45 
BSX 	 45 	 60 
BMY 	 5 	 40 
AVGO 	 5 	 10 
BR 	 10 	 15 
BF.B 	 0 	 0 
CHRW 	 5 	 10 
COG 	 15 	 40 
CDNS 	 15 	 40 
CPB 	 20 	 55 
COF 	 40 	 70 
CAH 	 40 	 60 
KMX 	 35 	 40 
CCL 	 5 	 10 
CARR 	 0 	 0 
CAT 	 5 	 10 
CBOE 	 5 	 10 
CBRE 	 30 	 35 
CDW 	 10 	 20 
CE 	 10 	 15 
CNC 	 5 	 10 
CNP 	 15 	 50 
CTL 	 25 	 30 
CERN 	 10 	 15 
CF 	 20 	 25 
SCHW 	 40 	 75 
CHTR 	 55 	 70 
CVX 	 10 	 25 
CMG 	 0 	 0 
CB 	 55 	 65 
CHD 	 15 	 35 
CI 	 10 	 15 
CINF 	 20 	 35 
CTAS 	 5 	 25 
CSCO 	 5 	 20 
C 	 10 	 20 
CFG 	 5 	 10 
CTXS 	 5 	 10 
CLX 	 30 	 75 
CME 	 45 	 65 
CMS 	 35 	 40 
KO 	 10 	 25 
CTSH 	 5 	 15 
CL 	 45 	 60 
CMCSA 	 20 	 50 
CMA 	 55 	 70 
CAG 	 5 	 40 
CXO 	 30 	 35 
COP 	 15 	 30 
ED 	 25 	 30 
STZ 	 5 	 10 
COO 	 5 	 15 
CPRT 	 10 	 20 
GLW 	 25 	 55 
CTVA 	 0 	 0 
COST 	 55 	 75 
COTY 	 45 	 65 
CCI 	 5 	 10 
CSX 	 35 	 55 
CMI 	 20 	 60 
CVS 	 20 	 25 
DHI 	 5 	 10 
DHR 	 5 	 15 
DRI 	 10 	 15 
DVA 	 15 	 40 
DE 	 10 	 30 
DAL 	 30 	 40 
XRAY 	 55 	 85 
DVN 	 20 	 30 
DXCM 	 20 	 50 
FANG 	 25 	 35 
DLR 	 10 	 20 
DFS 	 55 	 60 
DISCA 	 30 	 55 
DISCK 	 30 	 55 
DISH 	 5 	 15 
DG 	 15 	 30 
DLTR 	 40 	 60 
D 	 25 	 35 
DPZ 	 30 	 45 
DOV 	 10 	 25 
DOW 	 0 	 0 
DTE 	 15 	 45 
DUK 	 30 	 35 
DRE 	 20 	 25 
DD 	 5 	 10 
DXC 	 10 	 15 
ETFC 	 5 	 15 
EMN 	 5 	 10 
ETN 	 25 	 35 
EBAY 	 20 	 35 
ECL 	 5 	 10 
EIX 	 0 	 0 
EW 	 5 	 15 
EA 	 5 	 15 
EMR 	 30 	 35 
ETR 	 25 	 30 
EOG 	 25 	 35 
EFX 	 40 	 85 
EQIX 	 5 	 10 
EQR 	 40 	 45 
ESS 	 0 	 0 
EL 	 5 	 10 
EVRG 	 25 	 40 
ES 	 40 	 45 
RE 	 35 	 55 
EXC 	 20 	 30 
EXPE 	 10 	 15 
EXPD 	 35 	 40 
EXR 	 10 	 20 
XOM 	 5 	 30 
FFIV 	 5 	 15 
FB 	 10 	 15 
FAST 	 5 	 15 
FRT 	 10 	 60 
FDX 	 40 	 45 
FIS 	 20 	 25 
FITB 	 5 	 10 
FE 	 45 	 80 
FRC 	 15 	 20 
FISV 	 20 	 30 
FLT 	 15 	 20 
FLIR 	 5 	 10 
FLS 	 40 	 45 
FMC 	 35 	 45 
F 	 35 	 40 
FTNT 	 20 	 25 
FTV 	 10 	 15 
FBHS 	 35 	 40 
FOXA 	 0 	 0 
FOX 	 0 	 0 
BEN 	 25 	 50 
FCX 	 20 	 45 
GPS 	 20 	 35 
GRMN 	 5 	 10 
IT 	 5 	 70 
GD 	 25 	 45 
GE 	 0 	 0 
GIS 	 30 	 75 
GM 	 20 	 25 
GPC 	 30 	 65 
GILD 	 50 	 55 
GL 	 30 	 45 
GPN 	 10 	 15 
GS 	 5 	 10 
GWW 	 55 	 75 
HRB 	 20 	 70 
HAL 	 30 	 65 
HBI 	 5 	 10 
HIG 	 5 	 10 
HAS 	 5 	 10 
HCA 	 10 	 25 
PEAK 	 10 	 20 
HSIC 	 0 	 0 
HSY 	 30 	 40 
HES 	 5 	 35 
HPE 	 35 	 40 
HLT 	 40 	 75 
HFC 	 5 	 10 
HOLX 	 40 	 85 
HD 	 5 	 15 
HON 	 10 	 15 
HRL 	 25 	 30 
HST 	 15 	 35 
HWM 	 25 	 65 
HPQ 	 30 	 35 
HUM 	 15 	 40 
HBAN 	 40 	 45 
HII 	 45 	 65 
IEX 	 5 	 10 
IDXX 	 10 	 60 
INFO 	 50 	 55 
ITW 	 50 	 85 
ILMN 	 5 	 30 
INCY 	 15 	 20 
IR 	 15 	 25 
INTC 	 15 	 25 
ICE 	 30 	 50 
IBM 	 40 	 80 
IP 	 30 	 40 
IPG 	 5 	 60 
IFF 	 10 	 15 
INTU 	 5 	 10 
ISRG 	 5 	 10 
IVZ 	 20 	 30 
IPGP 	 10 	 15 
IQV 	 10 	 15 
IRM 	 20 	 25 
JKHY 	 55 	 65 
J 	 5 	 45 
JBHT 	 10 	 15 
SJM 	 30 	 35 
JNJ 	 10 	 30 
JCI 	 40 	 45 
JPM 	 30 	 50 
JNPR 	 30 	 50 
KSU 	 10 	 55 
K 	 30 	 60 
KEY 	 15 	 45 
KEYS 	 5 	 10 
KMB 	 5 	 10 
KIM 	 5 	 20 
KMI 	 10 	 80 
KLAC 	 5 	 40 
KSS 	 20 	 50 
KHC 	 25 	 40 
KR 	 55 	 65 
LB 	 55 	 85 
LHX 	 10 	 25 
LH 	 45 	 80 
LRCX 	 10 	 15 
LW 	 5 	 10 
LVS 	 20 	 25 
LEG 	 45 	 65 
LDOS 	 5 	 15 
LEN 	 5 	 10 
LLY 	 20 	 55 
LNC 	 35 	 45 
LIN 	 5 	 10 
LYV 	 25 	 30 
LKQ 	 15 	 20 
LMT 	 5 	 10 
L 	 25 	 35 
LOW 	 20 	 30 
LYB 	 5 	 15 
MTB 	 45 	 65 
MRO 	 30 	 50 
MPC 	 25 	 30 
MKTX 	 10 	 55 
MAR 	 25 	 30 
MMC 	 10 	 45 
MLM 	 5 	 15 
MAS 	 20 	 35 
MA 	 5 	 10 
MKC 	 40 	 45 
MXIM 	 10 	 50 
MCD 	 5 	 10 
MCK 	 35 	 45 
MDT 	 55 	 80 
MRK 	 25 	 55 
MET 	 35 	 45 
MTD 	 10 	 15 
MGM 	 15 	 50 
MCHP 	 5 	 10 
MU 	 5 	 15 
MSFT 	 5 	 15 
MAA 	 30 	 40 
MHK 	 5 	 10 
TAP 	 5 	 10 
MDLZ 	 35 	 40 
MNST 	 5 	 35 
MCO 	 5 	 10 
MS 	 10 	 35 
MOS 	 40 	 70 
MSI 	 10 	 15 
MSCI 	 5 	 10 
MYL 	 30 	 45 
NDAQ 	 55 	 75 
NOV 	 15 	 55 
NTAP 	 30 	 35 
NFLX 	 25 	 30 
NWL 	 5 	 10 
NEM 	 20 	 50 
NWSA 	 5 	 10 
NWS 	 55 	 75 
NEE 	 5 	 10 
NLSN 	 25 	 30 
NKE 	 55 	 85 
NI 	 30 	 35 
NBL 	 15 	 45 
NSC 	 45 	 60 
NTRS 	 20 	 25 
NOC 	 5 	 10 
NLOK 	 20 	 85 
NCLH 	 15 	 40 
NRG 	 50 	 70 
NUE 	 5 	 45 
NVDA 	 25 	 35 
NVR 	 5 	 10 
ORLY 	 5 	 80 
OXY 	 5 	 10 
ODFL 	 10 	 15 
OMC 	 25 	 35 
OKE 	 45 	 60 
ORCL 	 10 	 15 
OTIS 	 0 	 0 
PCAR 	 30 	 60 
PKG 	 30 	 45 
PH 	 5 	 40 
PAYX 	 50 	 85 
PAYC 	 10 	 15 
PYPL 	 10 	 15 
PNR 	 25 	 35 
PBCT 	 45 	 70 
PEP 	 40 	 70 
PKI 	 5 	 15 
PRGO 	 10 	 30 
PFE 	 5 	 10 
PM 	 20 	 35 
PSX 	 15 	 25 
PNW 	 30 	 40 
PXD 	 10 	 25 
PNC 	 20 	 35 
PPG 	 55 	 85 
PPL 	 0 	 0 
PFG 	 15 	 20 
PG 	 20 	 85 
PGR 	 15 	 20 
PLD 	 5 	 20 
PRU 	 40 	 45 
PEG 	 25 	 30 
PSA 	 10 	 20 
PHM 	 5 	 10 
PVH 	 10 	 15 
QRVO 	 10 	 50 
PWR 	 5 	 10 
QCOM 	 55 	 60 
DGX 	 15 	 20 
RL 	 55 	 60 
RJF 	 15 	 45 
RTX 	 5 	 20 
O 	 10 	 40 
REG 	 5 	 10 
REGN 	 5 	 10 
RF 	 10 	 15 
RSG 	 20 	 25 
RMD 	 15 	 40 
RHI 	 50 	 55 
ROK 	 5 	 10 
ROL 	 5 	 45 
ROP 	 5 	 10 
ROST 	 5 	 10 
RCL 	 15 	 20 
SPGI 	 5 	 20 
CRM 	 10 	 15 
SBAC 	 5 	 10 
SLB 	 20 	 30 
STX 	 5 	 10 
SEE 	 55 	 85 
SRE 	 40 	 45 
NOW 	 10 	 15 
SHW 	 40 	 60 
SPG 	 15 	 35 
SWKS 	 25 	 30 
SLG 	 5 	 40 
SNA 	 5 	 10 
SO 	 45 	 60 
LUV 	 35 	 50 
SWK 	 5 	 10 
SBUX 	 15 	 20 
STT 	 25 	 30 
STE 	 5 	 15 
SYK 	 10 	 20 
SIVB 	 10 	 15 
SYF 	 5 	 10 
SNPS 	 5 	 10 
SYY 	 20 	 25 
TMUS 	 35 	 85 
TROW 	 15 	 25 
TTWO 	 5 	 30 
TPR 	 5 	 10 
TGT 	 5 	 30 
TEL 	 15 	 25 
FTI 	 15 	 25 
TDY 	 5 	 10 
TFX 	 5 	 15 
TXN 	 10 	 15 
TXT 	 5 	 25 
TMO 	 30 	 40 
TIF 	 10 	 20 
TJX 	 5 	 10 
TSCO 	 10 	 25 
TT 	 40 	 50 
TDG 	 20 	 40 
TRV 	 55 	 65 
TFC 	 40 	 45 
TWTR 	 25 	 35 
TYL 	 10 	 15 
TSN 	 25 	 35 
UDR 	 5 	 45 
ULTA 	 0 	 0 
USB 	 5 	 40 
UAA 	 40 	 45 
UA 	 40 	 45 
UNP 	 40 	 45 
UAL 	 15 	 25 
UNH 	 5 	 25 
UPS 	 10 	 20 
URI 	 5 	 10 
UHS 	 40 	 45 
UNM 	 5 	 35 
VFC 	 5 	 10 
